93: [0] [[]]
96: [0] [[0.2525278329849243]]
97: [0] [[0.004126906394958496]]
101: [0] [[0.23139947652816772]]
102: [0] [[0.0013031363487243652]]
103: [0] [[0.11763131618499756]]
104: [0] [[0.10237157344818115]]
105: [0] [[0.0011881589889526367]]
106: [0] [[0.13537120819091797]]
107: [0] [[0.0008588433265686035]]
108: [0] [[0.1597554087638855]]
109: [0] [[0.015247881412506104]]
110: [0] [[0.0]]
111: [0] [[0.18453192710876465]]
112: [0] [[0.14235591888427734]]
113: [0] [[0.1807228922843933]]
114: [0] [[0.08276963233947754]]
115: [0] [[0.0]]
116: [0, 0] [[0.6135035455226898], [0.7516379952430725]]
117: [0, 0] [[0.6460646390914917], [0.62856724858284]]
118: [0, 0] [[0.6465547680854797], [0.6772587895393372]]
119: [0, 0] [[0.7628941684961319], [0.7694986164569855]]
120: [0, 0] [[0.7694986164569855], [0.7694986164569855]]
121: [0, 0] [[0.6566641926765442], [0.7057190835475922]]
122: [0, 0] [[0.764772355556488], [0.7562659680843353]]
123: [0, 0] [[0.8100520372390747], [0.7368442416191101]]
124: [0, 0] [[0.7421447932720184], [0.7454578876495361]]
125: [0, 0] [[0.6986618340015411], [0.6986618340015411]]
126: [0, 0] [[0.641889214515686], [0.5893149971961975]]
203: [1, 1, 0] [[0.8278957009315491, 0.49955224990844727], [1.0434998534619808, 0.364382266998291], [0.16680902242660522, 0.9528155624866486]]
204: [1, 1, 0] [[0.817025437951088, 0.390974760055542], [0.8997625932097435, 0.5891207456588745], [0.05660277605056763, 0.9421517252922058]]
205: [1, 1, 0] [[0.822483703494072, 0.6155491471290588], [0.9421517252922058, 0.6155491471290588], [0.03702998161315918, 0.9495533034205437]]
206: [1, 1, 0] [[0.8683706372976303, 0.5222541093826294], [0.9684905596077442, 0.36828792095184326], [0.08209413290023804, 0.9858411494642496]]
207: [1, 1, 0] [[0.9576940126717091, 0.3732321262359619], [1.0171529054641724, 0.3145763874053955], [0.05701565742492676, 1.0218260418623686]]
208: [1, 1, 0] [[0.9265440180897713, 0.364107608795166], [0.9911215398460627, 0.5194687843322754], [0.29268205165863037, 1.1865724474191666]]
209: [1, 1, 0] [[1.1227105408906937, 0.5561711490154266], [1.2007927596569061, 0.5337767004966736], [0.11862301826477051, 1.228270411491394]]
210: [1, 1, 0] [[0.9379248358309269, 0.530791848897934], [1.1762677729129791, 0.5409164130687714], [0.060342252254486084, 1.1875023394823074]]
211: [1, 0] [[1.250422179698944, 0.05749911069869995], [0.097908616065979, 1.1895742267370224]]
212: [1, 1, 0] [[0.7346900105476379, 0.6937481462955475], [1.1557653993368149, 0.6319279968738556], [0.04747152328491211, 1.2182076275348663]]
213: [1, 1, 0] [[1.0241390112787485, 0.45540475845336914], [1.3119269013404846, 0.5857685208320618], [0.1793811321258545, 1.2214788049459457]]
214: [1, 1, 0] [[0.8096021264791489, 0.5878561437129974], [1.2113378643989563, 0.5865547358989716], [0.041131675243377686, 1.2838975191116333]]
215: [1, 1, 0] [[0.8510322123765945, 0.5836317539215088], [1.2930052876472473, 0.5847612023353577], [0.02768564224243164, 1.2927967309951782]]
216: [1, 1, 0] [[0.8295464813709259, 0.5998437404632568], [1.2718577980995178, 0.5587400197982788], [0.059158146381378174, 1.2864211201667786]]
217: [1, 1, 0] [[0.9696491789072752, 0.558495968580246], [1.275837481021881, 0.5450168550014496], [0.03672754764556885, 1.2517083585262299]]
218: [1, 1, 0] [[0.8794903829693794, 0.5497109293937683], [1.203803911805153, 0.6443422734737396], [0.14654982089996338, 1.19041708111763]]
219: [1, 1, 0] [[0.9471336752176285, 0.6464143991470337], [1.2170221507549286, 0.5772542655467987], [0.022008180618286133, 1.2107564508914948]]
220: [1, 1, 0] [[0.9735048860311508, 0.5768566131591797], [1.248054325580597, 0.5942581593990326], [0.07938671112060547, 1.2642124593257904]]
221: [1, 1, 0] [[0.8775129169225693, 0.613477349281311], [1.2420035600662231, 0.5700278580188751], [0.13729435205459595, 1.218246191740036]]
222: [1, 1, 0] [[0.8438902795314789, 0.6636735796928406], [1.2917439341545105, 0.6947923600673676], [0.07577866315841675, 1.3200038075447083]]
223: [1, 1, 0] [[0.8986722379922867, 0.7880827188491821], [1.3102515935897827, 0.7483630478382111], [0.23549103736877441, 1.2602951526641846]]
224: [1, 1, 0] [[0.8618138432502747, 0.7287229895591736], [1.2322387099266052, 0.6988785862922668], [0.035695672035217285, 1.2276996225118637]]
225: [1, 1, 0] [[0.8590374141931534, 0.7116642892360687], [1.2174427211284637, 0.7032332122325897], [0.02216094732284546, 1.2193416506052017]]
226: [1, 1, 0] [[0.8716307878494263, 0.498943030834198], [1.1872400790452957, 0.5402267873287201], [0.07990837097167969, 1.2367685586214066]]
227: [1, 1, 0] [[0.8442947119474411, 0.5471919775009155], [1.256982535123825, 0.5225681364536285], [0.04303574562072754, 1.2589747607707977]]
228: [1, 1, 0] [[0.8412283807992935, 0.571409285068512], [1.2239564210176468, 0.5469101369380951], [0.06657224893569946, 1.256237119436264]]
229: [1, 1, 0] [[0.7861189544200897, 0.4505084753036499], [1.2652279436588287, 0.5376209020614624], [0.01941704750061035, 1.249732568860054]]
230: [1, 1, 0] [[0.8174642473459244, 0.5443646907806396], [1.1948019713163376, 0.3991970419883728], [0.018981516361236572, 1.2071106731891632]]
231: [1, 1, 0] [[0.7627807855606079, 0.4326797127723694], [1.2792344987392426, 0.619045615196228], [0.1573740839958191, 1.2096387445926666]]
232: [1, 1, 0] [[0.9455638341605663, 0.7131188809871674], [1.2019238322973251, 0.7134998142719269], [0.0763237476348877, 1.2530604600906372]]
233: [1, 1, 0] [[0.8699838668107986, 0.6999339163303375], [1.2092346101999283, 0.5312861502170563], [0.03180903196334839, 1.2155173569917679]]
234: [1, 1, 0] [[0.8590904325246811, 0.5710299611091614], [1.2090559154748917, 0.5998424589633942], [0.02089405059814453, 1.235475867986679]]
235: [1, 1, 0] [[0.8918555825948715, 0.5854678153991699], [1.2549984157085419, 0.6427876055240631], [0.03202635049819946, 1.204154595732689]]
236: [1, 1, 0] [[0.8734972923994064, 0.536195307970047], [1.227686583995819, 0.6187461614608765], [0.031048357486724854, 1.212934672832489]]
237: [1, 1, 0] [[0.871799036860466, 0.6337887346744537], [1.200998067855835, 0.6869260668754578], [0.01960468292236328, 1.2044814825057983]]
238: [1, 1, 0] [[0.8664212226867676, 0.8150589019060135], [1.187978446483612, 0.72573122382164], [0.03195464611053467, 1.1764839738607407]]
239: [1, 1, 0] [[0.8353928625583649, 0.6743521988391876], [1.2147625088691711, 0.6890468001365662], [0.056208908557891846, 1.2781955301761627]]
240: [0, 1, 0] [[0.7490511238574982, 0.8058831244707108], [0.8062157332897186, 0.003083944320678711], [0.8374798893928528, 1.2414219081401825]]
